Face_Index,Vertex_Coordinates,Red,Green,Blue
84,"(-0.493176, 0.386459, 13.340775); (-0.157475, 0.352882, 13.292513); (-0.149101, 0.294289, 13.56812); (-0.474896, 0.327301, 13.614778)",0.8,0.8,0.8
85,"(0.158677, 0.443764, 13.286785); (0.164793, 0.366547, 13.569349); (-0.149101, 0.294289, 13.56812); (-0.157475, 0.352882, 13.292513)",0.8,0.8,0.8
86,"(0.138237, 0.328773, 13.851104); (-0.149106, 0.22155, 13.835131); (-0.149101, 0.294289, 13.56812); (0.164793, 0.366547, 13.569349)",0.8,0.8,0.8
87,"(-0.474896, 0.327301, 13.614778); (-0.149101, 0.294289, 13.56812); (-0.149106, 0.22155, 13.835131); (-0.457477, 0.280884, 13.880319)",0.8,0.8,0.8
88,"(-0.45193, 0.158569, 14.123088); (-0.457477, 0.280884, 13.880319); (-0.149106, 0.22155, 13.835131); (-0.133614, 0.161453, 14.103993)",0.8,0.8,0.8
89,"(-0.769026, 0.636848, 13.445643); (-0.493176, 0.386459, 13.340775); (-0.474896, 0.327301, 13.614778); (-0.753191, 0.54155, 13.714839)",0.8,0.8,0.8
90,"(-0.474896, 0.327301, 13.614778); (-0.457477, 0.280884, 13.880319); (-0.738405, 0.465981, 13.975156); (-0.753191, 0.54155, 13.714839)",0.8,0.8,0.8
91,"(-0.800608, 0.715897, 13.177658); (-0.51091, 0.467392, 13.074668); (-0.493176, 0.386459, 13.340775); (-0.769026, 0.636848, 13.445643)",0.8,0.8,0.8
92,"(-0.816385, 0.961586, 13.870213); (-0.827847, 1.084381, 13.601222); (-0.769026, 0.636848, 13.445643); (-0.753191, 0.54155, 13.714839)",0.8,0.8,0.8
93,"(-0.827241, 1.189148, 13.330874); (-0.800608, 0.715897, 13.177658); (-0.769026, 0.636848, 13.445643); (-0.827847, 1.084381, 13.601222)",0.8,0.8,0.8
94,"(4.251332, 1.412231, 6.65917); (4.197, 1.41449, 6.388865); (4.043893, 1.637741, 6.449583); (4.109162, 1.643211, 6.714907)",0.8,0.8,0.8
95,"(4.13215, 1.418205, 6.120514); (3.976087, 1.638969, 6.184569); (4.043893, 1.637741, 6.449583); (4.197, 1.41449, 6.388865)",0.8,0.8,0.8
96,"(3.877991, 1.848137, 6.515989); (4.043893, 1.637741, 6.449583); (3.976087, 1.638969, 6.184569); (3.813682, 1.851433, 6.251956)",0.8,0.8,0.8
